url,status,content_type,bytes,local_path
https://www.ecgsim.org/pictures/verticaal/IMG_8280.jpg,downloaded,image/jpeg,24377,research\source\www.ecgsim.org\pictures\verticaal\IMG_8280.jpg
https://www.ecgsim.org/pictures/verticaal/thom.jpg,downloaded,image/jpeg,25711,research\source\www.ecgsim.org\pictures\verticaal\thom.jpg
http://www.mbfys.ru.nl/~thom,skipped_external,,0,
http://www.ru.nl/donders,skipped_external,,0,
http://www.ru.nl,skipped_external,,0,
http://www.umcn.nl/Research,skipped_external,,0,
https://www.ecgsim.org/pictures/verticaal/Peter_van_Dam.jpg,downloaded,image/jpeg,10847,research\source\www.ecgsim.org\pictures\verticaal\Peter_van_Dam.jpg
http://www.stitpro.nl,skipped_external,,0,
http://www.dennisvloedmans.nl,skipped_external,,0,
http://www.weezenhof.com,skipped_external,,0,
https://www.ecgsim.org/graphics/copy2015.png,downloaded,image/png,11925,research\source\www.ecgsim.org\graphics\copy2015.png
https://www.ecgsim.org/pictures/horizontaal/IMG_8560.jpg,downloaded,image/jpeg,79266,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8560.jpg
https://www.ecgsim.org/manual/index.php,downloaded,text/html; charset=UTF-8,9881,research\source\www.ecgsim.org\manual\index.php
http://www.gnu.org/licenses/gpl.html,skipped_external,,0,
http://www.ecgsim.org/contact.php,downloaded,text/html; charset=UTF-8,2389,research\source\www.ecgsim.org\contact.php
http://www.peacs.nl,skipped_external,,0,
https://www.ecgsim.org/manual/graphics/peacs-logo.PNG,downloaded,image/png,7142,research\source\www.ecgsim.org\manual\graphics\peacs-logo.PNG
https://www.ecgsim.org/pictures/horizontaal/IMG_8464.jpg,downloaded,image/jpeg,91732,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8464.jpg
https://www.ecgsim.org/pictures/horizontaal/IMG_8529.jpg,downloaded,image/jpeg,89284,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8529.jpg
http://www.ecgsim.org/papers/EcgsimHeart.pdf,downloaded,application/pdf,188501,research\source\www.ecgsim.org\papers\EcgsimHeart.pdf
http://www.ecgsim.org/papers/florida.pdf,downloaded,application/pdf,395153,research\source\www.ecgsim.org\papers\florida.pdf
http://www.ecgsim.org/papers/brasilreturn.pdf,downloaded,application/pdf,68375,research\source\www.ecgsim.org\papers\brasilreturn.pdf
http://www.ecgsim.org/papers/lausanne.pdf,downloaded,application/pdf,174296,research\source\www.ecgsim.org\papers\lausanne.pdf
http://www.cinc.org/archives/2011/pdf/0657.pdf,downloaded,application/pdf,469370,research\source\www.cinc.org\archives\2011\pdf\0657.pdf
https://www.ecgsim.org/pictures/horizontaal/IMG_8422.jpg,downloaded,image/jpeg,87591,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8422.jpg
http://www.ecgsim.org/downloads/ecgsimprogram.php,downloaded,text/html; charset=UTF-8,5037,research\source\www.ecgsim.org\downloads\ecgsimprogram.php
https://www.ecgsim.org/manual/graphics/NoUpdateMsg.png,downloaded,image/png,2573,research\source\www.ecgsim.org\manual\graphics\NoUpdateMsg.png
https://www.ecgsim.org/manual/graphics/NewUpdateDlg.png,downloaded,image/png,15178,research\source\www.ecgsim.org\manual\graphics\NewUpdateDlg.png
https://www.ecgsim.org/manual/graphics/UpdateAppInMenu.png,downloaded,image/png,9243,research\source\www.ecgsim.org\manual\graphics\UpdateAppInMenu.png
https://www.ecgsim.org/manual/graphics/UpdateApp.png,downloaded,image/png,52942,research\source\www.ecgsim.org\manual\graphics\UpdateApp.png
https://www.ecgsim.org/downloads/index.php,downloaded,text/html; charset=UTF-8,6250,research\source\www.ecgsim.org\downloads\index.php
https://www.ecgsim.org/tutorial/ecgsimtut2.pdf,downloaded,application/pdf,449661,research\source\www.ecgsim.org\tutorial\ecgsimtut2.pdf
https://www.ecgsim.org/tutorial/ecgsimtut13.pdf,downloaded,application/pdf,121763,research\source\www.ecgsim.org\tutorial\ecgsimtut13.pdf
https://www.ecgsim.org/pictures/horizontaal/IMG_8431.jpg,downloaded,image/jpeg,70902,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8431.jpg
https://www.ecgsim.org/downloads/cases/BergerEtAlJAmCollCardiol48.pdf,downloaded,application/pdf,4568056,research\source\www.ecgsim.org\downloads\cases\BergerEtAlJAmCollCardiol48.pdf
https://www.ecgsim.org/downloads/cases/WPW_fusionbeat.ECGsimcase,downloaded,,16875796,research\source\www.ecgsim.org\downloads\cases\WPW_fusionbeat.ECGsimcase
https://www.ecgsim.org/downloads/cases/WPW_Bundleonly.ECGsimcase,downloaded,,16809796,research\source\www.ecgsim.org\downloads\cases\WPW_Bundleonly.ECGsimcase
https://www.ecgsim.org/downloads/cases/WPW_ectopicbeat.ECGsimcase,downloaded,,17451796,research\source\www.ecgsim.org\downloads\cases\WPW_ectopicbeat.ECGsimcase
https://www.ecgsim.org/downloads/cases/normal_male2.ECGsimcase,downloaded,,11323178,research\source\www.ecgsim.org\downloads\cases\normal_male2.ECGsimcase
https://www.ecgsim.org/pictures/horizontaal/IMG_8405.jpg,downloaded,image/jpeg,85212,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8405.jpg
https://www.ecgsim.org/downloads/loadmat.m,downloaded,application/vnd.wolfram.mathematica.package,2017,research\source\www.ecgsim.org\downloads\loadmat.m
https://www.ecgsim.org/downloads/loadtri.m,downloaded,application/vnd.wolfram.mathematica.package,1194,research\source\www.ecgsim.org\downloads\loadtri.m
https://www.ecgsim.org/downloads/readECGsim.m,downloaded,application/vnd.wolfram.mathematica.package,11004,research\source\www.ecgsim.org\downloads\readECGsim.m
https://www.ecgsim.org/downloads/other13/downloadgeo.php,downloaded,text/html; charset=UTF-8,5317,research\source\www.ecgsim.org\downloads\other13\downloadgeo.php
https://www.ecgsim.org/downloads/other13/downloadmcg.php,downloaded,text/html; charset=UTF-8,2839,research\source\www.ecgsim.org\downloads\other13\downloadmcg.php
https://www.ecgsim.org/downloads/other13/downloadalt.php,downloaded,text/html; charset=UTF-8,5317,research\source\www.ecgsim.org\downloads\other13\downloadalt.php
https://www.ecgsim.org/downloads/other13/help,downloaded,text/html,1405,research\source\www.ecgsim.org\downloads\other13\help\index.html
https://www.ecgsim.org/pictures/horizontaal/IMG_8651.jpg,downloaded,image/jpeg,105953,research\source\www.ecgsim.org\pictures\horizontaal\IMG_8651.jpg
https://www.ecgsim.org/manual/graphics/slope.png,downloaded,image/png,650,research\source\www.ecgsim.org\manual\graphics\slope.png
https://www.ecgsim.org/manual/graphics/time_shift.png,downloaded,image/png,575,research\source\www.ecgsim.org\manual\graphics\time_shift.png
https://www.ecgsim.org/manual/graphics/heart_surfacefunc.PNG,downloaded,image/png,82194,research\source\www.ecgsim.org\manual\graphics\heart_surfacefunc.PNG
https://www.ecgsim.org/manual/clipboard.php,downloaded,text/html; charset=UTF-8,4660,research\source\www.ecgsim.org\manual\clipboard.php
https://www.ecgsim.org/manual/graphics/centerrange.png,downloaded,image/png,2738,research\source\www.ecgsim.org\manual\graphics\centerrange.png
https://www.ecgsim.org/manual/graphics/rangeZone.png,downloaded,image/png,3119,research\source\www.ecgsim.org\manual\graphics\rangeZone.png
https://www.ecgsim.org/manual/graphics/probe.png,downloaded,image/png,1203,research\source\www.ecgsim.org\manual\graphics\probe.png
https://www.ecgsim.org/manual/graphics/focus.png,downloaded,image/png,999,research\source\www.ecgsim.org\manual\graphics\focus.png
https://www.ecgsim.org/manual/graphics/atria.png,downloaded,image/png,3054,research\source\www.ecgsim.org\manual\graphics\atria.png
https://www.ecgsim.org/manual/graphics/ventricle.png,downloaded,image/png,3991,research\source\www.ecgsim.org\manual\graphics\ventricle.png
https://www.ecgsim.org/manual/graphics/heart_atria.PNG,downloaded,image/png,22725,research\source\www.ecgsim.org\manual\graphics\heart_atria.PNG
https://www.ecgsim.org/manual/graphics/heart_ventricles.png,downloaded,image/png,24696,research\source\www.ecgsim.org\manual\graphics\heart_ventricles.png
https://www.ecgsim.org/manual/graphics/initialheartvaluesHeart.png,downloaded,image/png,2510,research\source\www.ecgsim.org\manual\graphics\initialheartvaluesHeart.png
https://www.ecgsim.org/manual/graphics/useradaptedheartvaluesHeart.png,downloaded,image/png,3951,research\source\www.ecgsim.org\manual\graphics\useradaptedheartvaluesHeart.png
https://www.ecgsim.org/manual/graphics/depolarization.png,downloaded,image/png,459,research\source\www.ecgsim.org\manual\graphics\depolarization.png
https://www.ecgsim.org/manual/graphics/repolarization.png,downloaded,image/png,965,research\source\www.ecgsim.org\manual\graphics\repolarization.png
https://www.ecgsim.org/manual/graphics/duration.png,downloaded,image/png,1043,research\source\www.ecgsim.org\manual\graphics\duration.png
https://www.ecgsim.org/manual/graphics/amplitude.png,downloaded,image/png,1069,research\source\www.ecgsim.org\manual\graphics\amplitude.png
https://www.ecgsim.org/manual/graphics/restpot.png,downloaded,image/png,652,research\source\www.ecgsim.org\manual\graphics\restpot.png
https://www.ecgsim.org/manual/graphics/TMP.png,downloaded,image/png,900,research\source\www.ecgsim.org\manual\graphics\TMP.png
https://www.ecgsim.org/manual/graphics/geometry.png,downloaded,image/png,2787,research\source\www.ecgsim.org\manual\graphics\geometry.png
https://www.ecgsim.org/manual/graphics/contribution.png,downloaded,image/png,568,research\source\www.ecgsim.org\manual\graphics\contribution.png
https://www.ecgsim.org/manual/transfer.php,downloaded,text/html; charset=UTF-8,6869,research\source\www.ecgsim.org\manual\transfer.php
https://www.ecgsim.org/manual/graphics/adaptSurface.png,downloaded,image/png,824,research\source\www.ecgsim.org\manual\graphics\adaptSurface.png
https://www.ecgsim.org/manual/graphics/switchWallSide.png,downloaded,image/png,1011,research\source\www.ecgsim.org\manual\graphics\switchWallSide.png
https://www.ecgsim.org/manual/graphics/transmural.png,downloaded,image/png,873,research\source\www.ecgsim.org\manual\graphics\transmural.png
https://www.ecgsim.org/manual/graphics/singleWallSide.png,downloaded,image/png,925,research\source\www.ecgsim.org\manual\graphics\singleWallSide.png
https://www.ecgsim.org/manual/graphics/cummulation_mode.png,downloaded,image/png,21746,research\source\www.ecgsim.org\manual\graphics\cummulation_mode.png
https://www.ecgsim.org/manual/graphics/singleselect.png,downloaded,image/png,3002,research\source\www.ecgsim.org\manual\graphics\singleselect.png
https://www.ecgsim.org/manual/graphics/AddSingleselect.png,downloaded,image/png,2904,research\source\www.ecgsim.org\manual\graphics\AddSingleselect.png
https://www.ecgsim.org/manual/graphics/addselect.png,downloaded,image/png,2956,research\source\www.ecgsim.org\manual\graphics\addselect.png
https://www.ecgsim.org/manual/graphics/heart_vector.png,downloaded,image/png,41826,research\source\www.ecgsim.org\manual\graphics\heart_vector.png
https://www.ecgsim.org/manual/graphics/thorax_view.PNG,downloaded,image/png,27355,research\source\www.ecgsim.org\manual\graphics\thorax_view.PNG
https://www.ecgsim.org/manual/graphics/thorax_potentials.PNG,downloaded,image/png,32087,research\source\www.ecgsim.org\manual\graphics\thorax_potentials.PNG
https://www.ecgsim.org/manual/graphics/torso.png,downloaded,image/png,2554,research\source\www.ecgsim.org\manual\graphics\torso.png
https://www.ecgsim.org/manual/graphics/measSurface.png,downloaded,image/png,1341,research\source\www.ecgsim.org\manual\graphics\measSurface.png
https://www.ecgsim.org/manual/graphics/initSurfaceActive.png,downloaded,image/png,2308,research\source\www.ecgsim.org\manual\graphics\initSurfaceActive.png
https://www.ecgsim.org/manual/graphics/thoraxwithlungs.png,downloaded,image/png,2677,research\source\www.ecgsim.org\manual\graphics\thoraxwithlungs.png
https://www.ecgsim.org/manual/graphics/thoraxnolungs.png,downloaded,image/png,2421,research\source\www.ecgsim.org\manual\graphics\thoraxnolungs.png
https://www.ecgsim.org/manual/graphics/Hide_Electrodes_lungs.png,downloaded,image/png,2760,research\source\www.ecgsim.org\manual\graphics\Hide_Electrodes_lungs.png
